nombre_categoria,icono,color_hex
Aderezos,CircleDashedIcon,#fd7e14
Agua,CircleDashedIcon,#82c91e
Bases,CircleDashedIcon,#fab005
Café,CircleDashedIcon,#9775fa
Carnes,CircleDashedIcon,#15aabf
Cremas,CircleDashedIcon,#da77f2
Galletas,CircleDashedIcon,#e64980
Jarabes,CircleDashedIcon,#fa5252
Leches,CircleDashedIcon,#748ffc
Panadería,CircleDashedIcon,#9775fa
Polvos,CircleDashedIcon,#4dabf7
Quesos,CircleDashedIcon,#63e6be
Saborizantes,CircleDashedIcon,#ffa94d
Salsas,CircleDashedIcon,#ffd43b
Alimentos,CircleDashedIcon,#ff922b
