nombre_insumo,categoria_insumo,unidad_base,costo_por_unidad,descripcion
Pliego,Consumibles,Pieza,0.9,
Popotes,Consumibles,Pieza,0.22,
Servilletas,Consumibles,Pieza,0.12,
Vaso Souffle 2oz,Consumibles,Pieza,0.26,
Tapa Souffle 2oz,Consumibles,Pieza,0.208,
Contenedor Kraft,Empaques,Pieza,1.87,
Bolsa para Pan,Empaques,Pieza,4.89,
Bolsa Delivery Grande,Empaques,Pieza,14.58,
Bolsa Delivery Chica,Empaques,Pieza,8.54,
Portavasos Delivery 2,Empaques,Pieza,2.4,
Portavasos Delivery 4,Empaques,Pieza,1.93,
Plato Kraft,Empaques,Pieza,1.39,
Vaso de Doble Pared 12oz,Envases,Pieza,3.49,
Vaso Pet 16oz,Envases,Pieza,2.55,
Lata Pet,Envases,Pieza,4.81,
Tapa Boquilla,Tapas,Pieza,1.35,
Tapa Plana,Tapas,Pieza,1.25,
Tapa Vaso Papel,Tapas,Pieza,1.04,
Tapa Easy Open (Lata),Tapas,Pieza,1,
Vaso de Doble Pared 8 oz,Vasos,Pieza,2.55,
Lata Oso,Vasos,Pieza,10,
