nombre_producto,alias_variacion,precio_mxn,nombre_en_cocina,descripcion_cliente,descripcion_cocina
Capuccino,capuccino_leche_entera,86,,,
Capuccino,capuccino_leche_light,86,,,
Capuccino,capuccino_leche_deslactosada,86,,,
Capuccino,capuccino_leche_almendra,98,,,
Capuccino,capuccino_leche_avena,98,,,
Capuccino,capuccino_leche_coco,98,,,
Latte Caliente,latte_caliente_leche_entera,66,,,
Latte Caliente,latte_caliente_leche_light,66,,,
Latte Caliente,latte_caliente_leche_deslactosada,66,,,
Latte Caliente,latte_caliente_leche_almendra,78,,,
Latte Caliente,latte_caliente_leche_avena,78,,,
Latte Caliente,latte_caliente_leche_coco,78,,,
Latte Frío,latte_frio_leche_entera,66,,,
Latte Frío,latte_frio_leche_light,66,,,
Latte Frío,latte_frio_leche_deslactosada,66,,,
Latte Frío,latte_frio_leche_almendra,78,,,
Latte Frío,latte_frio_leche_avena,78,,,
Latte Frío,latte_frio_leche_coco,78,,,
Mocha Blanco Caliente,mocha_blanco_caliente_leche_entera,78,,,
Mocha Blanco Caliente,mocha_blanco_caliente_leche_light,78,,,
Mocha Blanco Caliente,mocha_blanco_caliente_leche_deslactosada,78,,,
Mocha Blanco Caliente,mocha_blanco_caliente_leche_almendra,90,,,
Mocha Blanco Caliente,mocha_blanco_caliente_leche_avena,90,,,
Mocha Blanco Caliente,mocha_blanco_caliente_leche_coco,90,,,
Mocha Blanco Frío,mocha_blanco_frio_leche_entera,78,,,
Mocha Blanco Frío,mocha_blanco_frio_leche_light,78,,,
Mocha Blanco Frío,mocha_blanco_frio_leche_deslactosada,78,,,
Mocha Blanco Frío,mocha_blanco_frio_leche_almendra,90,,,
Mocha Blanco Frío,mocha_blanco_frio_leche_avena,90,,,
Mocha Blanco Frío,mocha_blanco_frio_leche_coco,90,,,
Mocha Caliente,mocha_caliente_leche_entera,78,,,
Mocha Caliente,mocha_caliente_leche_light,78,,,
Mocha Caliente,mocha_caliente_leche_deslactosada,78,,,
Mocha Caliente,mocha_caliente_leche_almendra,90,,,
Mocha Caliente,mocha_caliente_leche_avena,90,,,
Mocha Caliente,mocha_caliente_leche_coco,90,,,
Mocha Frío,mocha_frio_leche_entera,78,,,
Mocha Frío,mocha_frio_leche_light,78,,,
Mocha Frío,mocha_frio_leche_deslactosada,78,,,
Mocha Frío,mocha_frio_leche_almendra,90,,,
Mocha Frío,mocha_frio_leche_avena,90,,,
Mocha Frío,mocha_frio_leche_coco,90,,,
Matcha Ceremonial Caliente,matcha_ceremonial_caliente_leche_entera,99,,,
Matcha Ceremonial Caliente,matcha_ceremonial_caliente_leche_light,99,,,
Matcha Ceremonial Caliente,matcha_ceremonial_caliente_leche_deslactosada,99,,,
Matcha Ceremonial Caliente,matcha_ceremonial_caliente_leche_almendra,111,,,
Matcha Ceremonial Caliente,matcha_ceremonial_caliente_leche_avena,111,,,
Matcha Ceremonial Caliente,matcha_ceremonial_caliente_leche_coco,111,,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_leche_entera,99,,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_leche_light,99,,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_leche_deslactosada,99,,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_leche_almendra,111,,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_leche_avena,111,,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_leche_coco,111,,,
