nombre_producto,alias_variacion,nombre_grupo_variacion_1,nombre_opcion_1,nombre_grupo_variacion_2,nombre_opcion_2,nombre_grupo_variacion_3,nombre_opcion_3
Espresso,distincion_sencillo,Tipo de Café,Tukafe Distinción,Tamaño Espresso,Sencillo,,
Espresso,distincion_doble,Tipo de Café,Tukafe Distinción,Tamaño Espresso,Doble,,
Espresso,tradicion_sencillo,Tipo de Café,Tukafe Tradición,Tamaño Espresso,Sencillo,,
Espresso,tradicion_doble,Tipo de Café,Tukafe Tradición,Tamaño Espresso,Doble,,
Americano Caliente,americano_tradicion,Tipo de Café,Tukafe Tradición,,,,
Americano Caliente,americano_distincion,Tipo de Café,Tukafe Distinción,,,,
Americano Frío,americano_frio_tradicion_vaso,Tipo de Café,Tukafe Tradición,Envase,Vaso,,
Americano Frío,americano_frio_tradicion_lata,Tipo de Café,Tukafe Tradición,Envase,Lata,,
Americano Frío,americano_frio_distincion_vaso,Tipo de Café,Tukafe Distinción,Envase,Vaso,,
Americano Frío,americano_frio_distincion_lata,Tipo de Café,Tukafe Distinción,Envase,Lata,,
Capuccino,capuccino_tradicion_entera,Tipo de Café,Tukafe Tradición,Tipo de Leche,Entera,,
Capuccino,capuccino_tradicion_light,Tipo de Café,Tukafe Tradición,Tipo de Leche,Light,,
Capuccino,capuccino_tradicion_deslactosada,Tipo de Café,Tukafe Tradición,Tipo de Leche,Deslactosada,,
Capuccino,capuccino_tradicion_almendra,Tipo de Café,Tukafe Tradición,Tipo de Leche,Almendra,,
Capuccino,capuccino_tradicion_avena,Tipo de Café,Tukafe Tradición,Tipo de Leche,Avena Oatly,,
Capuccino,capuccino_tradicion_coco,Tipo de Café,Tukafe Tradición,Tipo de Leche,Coco,,
Capuccino,capuccino_tradicion_soya_vainilla,Tipo de Café,Tukafe Tradición,Tipo de Leche,Soya Vainilla,,
Capuccino,capuccino_distincion_entera,Tipo de Café,Tukafe Distinción,Tipo de Leche,Entera,,
Capuccino,capuccino_distincion_light,Tipo de Café,Tukafe Distinción,Tipo de Leche,Light,,
Capuccino,capuccino_distincion_deslactosada,Tipo de Café,Tukafe Distinción,Tipo de Leche,Deslactosada,,
Capuccino,capuccino_distincion_almendra,Tipo de Café,Tukafe Distinción,Tipo de Leche,Almendra,,
Capuccino,capuccino_distincion_avena,Tipo de Café,Tukafe Distinción,Tipo de Leche,Avena Oatly,,
Capuccino,capuccino_distincion_coco,Tipo de Café,Tukafe Distinción,Tipo de Leche,Coco,,
Capuccino,capuccino_distincion_soya_vainilla,Tipo de Café,Tukafe Distinción,Tipo de Leche,Soya Vainilla,,
Latte Caliente,latte_caliente_tradicion_entera,Tipo de Café,Tukafe Tradición,Tipo de Leche,Entera,,
Latte Caliente,latte_caliente_tradicion_light,Tipo de Café,Tukafe Tradición,Tipo de Leche,Light,,
Latte Caliente,latte_caliente_tradicion_deslactosada,Tipo de Café,Tukafe Tradición,Tipo de Leche,Deslactosada,,
Latte Caliente,latte_caliente_tradicion_almendra,Tipo de Café,Tukafe Tradición,Tipo de Leche,Almendra,,
Latte Caliente,latte_caliente_tradicion_avena,Tipo de Café,Tukafe Tradición,Tipo de Leche,Avena Oatly,,
Latte Caliente,latte_caliente_tradicion_coco,Tipo de Café,Tukafe Tradición,Tipo de Leche,Coco,,
Latte Caliente,latte_caliente_tradicion_soya_vainilla,Tipo de Café,Tukafe Tradición,Tipo de Leche,Soya Vainilla,,
Latte Caliente,latte_caliente_distincion_entera,Tipo de Café,Tukafe Distinción,Tipo de Leche,Entera,,
Latte Caliente,latte_caliente_distincion_light,Tipo de Café,Tukafe Distinción,Tipo de Leche,Light,,
Latte Caliente,latte_caliente_distincion_deslactosada,Tipo de Café,Tukafe Distinción,Tipo de Leche,Deslactosada,,
Latte Caliente,latte_caliente_distincion_almendra,Tipo de Café,Tukafe Distinción,Tipo de Leche,Almendra,,
Latte Caliente,latte_caliente_distincion_avena,Tipo de Café,Tukafe Distinción,Tipo de Leche,Avena Oatly,,
Latte Caliente,latte_caliente_distincion_coco,Tipo de Café,Tukafe Distinción,Tipo de Leche,Coco,,
Latte Caliente,latte_caliente_distincion_soya_vainilla,Tipo de Café,Tukafe Distinción,Tipo de Leche,Soya Vainilla,,
Latte Frío,latte_frio_tradicion_entera_vaso,Tipo de Café,Tukafe Tradición,Tipo de Leche,Entera,Envase,Vaso
Latte Frío,latte_frio_tradicion_light_vaso,Tipo de Café,Tukafe Tradición,Tipo de Leche,Light,Envase,Vaso
Latte Frío,latte_frio_tradicion_deslactosada_vaso,Tipo de Café,Tukafe Tradición,Tipo de Leche,Deslactosada,Envase,Vaso
Latte Frío,latte_frio_tradicion_almendra_vaso,Tipo de Café,Tukafe Tradición,Tipo de Leche,Almendra,Envase,Vaso
Latte Frío,latte_frio_tradicion_avena_vaso,Tipo de Café,Tukafe Tradición,Tipo de Leche,Avena Oatly,Envase,Vaso
Latte Frío,latte_frio_tradicion_coco_vaso,Tipo de Café,Tukafe Tradición,Tipo de Leche,Coco,Envase,Vaso
Latte Frío,latte_frio_tradicion_soya_vainilla_vaso,Tipo de Café,Tukafe Tradición,Tipo de Leche,Soya Vainilla,Envase,Vaso
Latte Frío,latte_frio_distincion_entera_vaso,Tipo de Café,Tukafe Distinción,Tipo de Leche,Entera,Envase,Vaso
Latte Frío,latte_frio_distincion_light_vaso,Tipo de Café,Tukafe Distinción,Tipo de Leche,Light,Envase,Vaso
Latte Frío,latte_frio_distincion_deslactosada_vaso,Tipo de Café,Tukafe Distinción,Tipo de Leche,Deslactosada,Envase,Vaso
Latte Frío,latte_frio_distincion_almendra_vaso,Tipo de Café,Tukafe Distinción,Tipo de Leche,Almendra,Envase,Vaso
Latte Frío,latte_frio_distincion_avena_vaso,Tipo de Café,Tukafe Distinción,Tipo de Leche,Avena Oatly,Envase,Vaso
Latte Frío,latte_frio_distincion_coco_vaso,Tipo de Café,Tukafe Distinción,Tipo de Leche,Coco,Envase,Vaso
Latte Frío,latte_frio_distincion_soya_vainilla_vaso,Tipo de Café,Tukafe Distinción,Tipo de Leche,Soya Vainilla,Envase,Vaso
Latte Frío,latte_frio_tradicion_entera_lata,Tipo de Café,Tukafe Tradición,Tipo de Leche,Entera,Envase,Lata
Latte Frío,latte_frio_tradicion_light_lata,Tipo de Café,Tukafe Tradición,Tipo de Leche,Light,Envase,Lata
Latte Frío,latte_frio_tradicion_deslactosada_lata,Tipo de Café,Tukafe Tradición,Tipo de Leche,Deslactosada,Envase,Lata
Latte Frío,latte_frio_tradicion_almendra_lata,Tipo de Café,Tukafe Tradición,Tipo de Leche,Almendra,Envase,Lata
Latte Frío,latte_frio_tradicion_avena_lata,Tipo de Café,Tukafe Tradición,Tipo de Leche,Avena Oatly,Envase,Lata
Latte Frío,latte_frio_tradicion_coco_lata,Tipo de Café,Tukafe Tradición,Tipo de Leche,Coco,Envase,Lata
Latte Frío,latte_frio_tradicion_soya_vainilla_lata,Tipo de Café,Tukafe Tradición,Tipo de Leche,Soya Vainilla,Envase,Lata
Latte Frío,latte_frio_distincion_entera_lata,Tipo de Café,Tukafe Distinción,Tipo de Leche,Entera,Envase,Lata
Latte Frío,latte_frio_distincion_light_lata,Tipo de Café,Tukafe Distinción,Tipo de Leche,Light,Envase,Lata
Latte Frío,latte_frio_distincion_deslactosada_lata,Tipo de Café,Tukafe Distinción,Tipo de Leche,Deslactosada,Envase,Lata
Latte Frío,latte_frio_distincion_almendra_lata,Tipo de Café,Tukafe Distinción,Tipo de Leche,Almendra,Envase,Lata
Latte Frío,latte_frio_distincion_avena_lata,Tipo de Café,Tukafe Distinción,Tipo de Leche,Avena Oatly,Envase,Lata
Latte Frío,latte_frio_distincion_coco_lata,Tipo de Café,Tukafe Distinción,Tipo de Leche,Coco,Envase,Lata
Latte Frío,latte_frio_distincion_soya_vainilla_lata,Tipo de Café,Tukafe Distinción,Tipo de Leche,Soya Vainilla,Envase,Lata
Latte Frappé,latte_frappe_tradicion_entera,Tipo de Café,Tukafe Tradición,Tipo de Leche,Entera,,
Latte Frappé,latte_frappe_tradicion_light,Tipo de Café,Tukafe Tradición,Tipo de Leche,Light,,
Latte Frappé,latte_frappe_tradicion_deslactosada,Tipo de Café,Tukafe Tradición,Tipo de Leche,Deslactosada,,
Latte Frappé,latte_frappe_tradicion_almendra,Tipo de Café,Tukafe Tradición,Tipo de Leche,Almendra,,
Latte Frappé,latte_frappe_tradicion_avena,Tipo de Café,Tukafe Tradición,Tipo de Leche,Avena Oatly,,
Latte Frappé,latte_frappe_tradicion_coco,Tipo de Café,Tukafe Tradición,Tipo de Leche,Coco,,
Latte Frappé,latte_frappe_tradicion_soya_vainilla,Tipo de Café,Tukafe Tradición,Tipo de Leche,Soya Vainilla,,
Latte Frappé,latte_frappe_distincion_entera,Tipo de Café,Tukafe Distinción,Tipo de Leche,Entera,,
Latte Frappé,latte_frappe_distincion_light,Tipo de Café,Tukafe Distinción,Tipo de Leche,Light,,
Latte Frappé,latte_frappe_distincion_deslactosada,Tipo de Café,Tukafe Distinción,Tipo de Leche,Deslactosada,,
Latte Frappé,latte_frappe_distincion_almendra,Tipo de Café,Tukafe Distinción,Tipo de Leche,Almendra,,
Latte Frappé,latte_frappe_distincion_avena,Tipo de Café,Tukafe Distinción,Tipo de Leche,Avena Oatly,,
Latte Frappé,latte_frappe_distincion_coco,Tipo de Café,Tukafe Distinción,Tipo de Leche,Coco,,
Latte Frappé,latte_frappe_distincion_soya_vainilla,Tipo de Café,Tukafe Distinción,Tipo de Leche,Soya Vainilla,,
Mocha Caliente,mocha_caliente_entera,Tipo de Leche,Entera,,,,
Mocha Caliente,mocha_caliente_light,Tipo de Leche,Light,,,,
Mocha Caliente,mocha_caliente_deslactosada,Tipo de Leche,Deslactosada,,,,
Mocha Caliente,mocha_caliente_almendra,Tipo de Leche,Almendra,,,,
Mocha Caliente,mocha_caliente_avena,Tipo de Leche,Avena Oatly,,,,
Mocha Caliente,mocha_caliente_coco,Tipo de Leche,Coco,,,,
Mocha Caliente,mocha_caliente_soya_vainilla,Tipo de Leche,Soya Vainilla,,,,
Mocha Frío,mocha_frio_entera_vaso,Tipo de Leche,Entera,Envase,Vaso,,
Mocha Frío,mocha_frio_light_vaso,Tipo de Leche,Light,Envase,Vaso,,
Mocha Frío,mocha_frio_deslactosada_vaso,Tipo de Leche,Deslactosada,Envase,Vaso,,
Mocha Frío,mocha_frio_almendra_vaso,Tipo de Leche,Almendra,Envase,Vaso,,
Mocha Frío,mocha_frio_avena_vaso,Tipo de Leche,Avena Oatly,Envase,Vaso,,
Mocha Frío,mocha_frio_coco_vaso,Tipo de Leche,Coco,Envase,Vaso,,
Mocha Frío,mocha_frio_soya_vainilla_vaso,Tipo de Leche,Soya Vainilla,Envase,Vaso,,
Mocha Frío,mocha_frio_entera_lata,Tipo de Leche,Entera,Envase,Lata,,
Mocha Frío,mocha_frio_light_lata,Tipo de Leche,Light,Envase,Lata,,
Mocha Frío,mocha_frio_deslactosada_lata,Tipo de Leche,Deslactosada,Envase,Lata,,
Mocha Frío,mocha_frio_almendra_lata,Tipo de Leche,Almendra,Envase,Lata,,
Mocha Frío,mocha_frio_avena_lata,Tipo de Leche,Avena Oatly,Envase,Lata,,
Mocha Frío,mocha_frio_coco_lata,Tipo de Leche,Coco,Envase,Lata,,
Mocha Frío,mocha_frio_soya_vainilla_lata,Tipo de Leche,Soya Vainilla,Envase,Lata,,
Mocha Frappé,mocha_frappe_entera,Tipo de Leche,Entera,,,,
Mocha Frappé,mocha_frappe_light,Tipo de Leche,Light,,,,
Mocha Frappé,mocha_frappe_deslactosada,Tipo de Leche,Deslactosada,,,,
Mocha Frappé,mocha_frappe_almendra,Tipo de Leche,Almendra,,,,
Mocha Frappé,mocha_frappe_avena,Tipo de Leche,Avena Oatly,,,,
Mocha Frappé,mocha_frappe_coco,Tipo de Leche,Coco,,,,
Mocha Frappé,mocha_frappe_soya_vainilla,Tipo de Leche,Soya Vainilla,,,,
Coco Coffee Foam,coco_foam_agua_vaso,Base de Bebida,Agua de Coco,Envase,Vaso,,
Coco Coffee Foam,coco_foam_leche_vaso,Base de Bebida,Leche de Coco,Envase,Vaso,,
Coco Coffee Foam,coco_foam_agua_lata,Base de Bebida,Agua de Coco,Envase,Lata,,
