nombre_producto,nombre_modificador,nombre_grupo_variacion,nombre_opcion_variacion
Espresso,Shot Extra Tradición,Tipo de Café,Tukafe Tradición
Espresso,Shot Extra Distinción,Tipo de Café,Tukafe Distinción
Americano Caliente,Shot Extra Tradición,Tipo de Café,Tukafe Tradición
Americano Caliente,Shot Extra Distinción,Tipo de Café,Tukafe Distinción
Americano Frío,Shot Extra Tradición,Tipo de Café,Tukafe Tradición
Americano Frío,Shot Extra Distinción,Tipo de Café,Tukafe Distinción
Capuccino,Shot Extra Tradición,Tipo de Café,Tukafe Tradición
Capuccino,Shot Extra Distinción,Tipo de Café,Tukafe Distinción
Latte Caliente,Shot Extra Tradición,Tipo de Café,Tukafe Tradición
Latte Caliente,Shot Extra Distinción,Tipo de Café,Tukafe Distinción
Latte Frío,Shot Extra Tradición,Tipo de Café,Tukafe Tradición
Latte Frío,Shot Extra Distinción,Tipo de Café,Tukafe Distinción
Latte Frappé,Shot Extra Tradición,Tipo de Café,Tukafe Tradición
Latte Frappé,Shot Extra Distinción,Tipo de Café,Tukafe Distinción
