cashback_id,document_id,monto_mxn,fecha,motivo
6,,7.60,2025-07-01,cashback_sin_relacion_user_lnk
7,,4.00,2025-07-03,cashback_sin_relacion_user_lnk
10,,-4.00,2025-07-07,cashback_sin_relacion_user_lnk
19,,-27.70,2025-07-21,cashback_sin_relacion_user_lnk
2471,,14.20,2026-06-09,cashback_sin_relacion_user_lnk
2575,,7.80,2026-06-23,cashback_sin_relacion_user_lnk
2576,,7.80,2026-06-23,cashback_sin_relacion_user_lnk
2577,,5.00,2026-06-23,cashback_sin_relacion_user_lnk
2578,,5.91,2026-06-23,cashback_sin_relacion_user_lnk
2579,,-6.93,2026-06-23,cashback_sin_relacion_user_lnk
2580,,7.80,2026-06-23,cashback_sin_relacion_user_lnk
2581,,0.00,2026-06-23,cashback_sin_relacion_user_lnk
2582,,6.40,2026-06-23,cashback_sin_relacion_user_lnk
2583,,-57.98,2026-06-23,cashback_sin_relacion_user_lnk
2584,,8.80,2026-06-23,cashback_sin_relacion_user_lnk
2585,,8.80,2026-06-23,cashback_sin_relacion_user_lnk
2586,,8.80,2026-06-23,cashback_sin_relacion_user_lnk
2587,,4.75,2026-06-24,cashback_sin_relacion_user_lnk
2588,,-30.48,2026-06-24,cashback_sin_relacion_user_lnk
2589,,12.50,2026-06-24,cashback_sin_relacion_user_lnk
2590,,15.30,2026-06-24,cashback_sin_relacion_user_lnk
2591,,2.49,2026-06-24,cashback_sin_relacion_user_lnk
2592,,-53.07,2026-06-24,cashback_sin_relacion_user_lnk
2593,,7.80,2026-06-24,cashback_sin_relacion_user_lnk
2594,,8.19,2026-06-24,cashback_sin_relacion_user_lnk
2595,,-74.08,2026-06-24,cashback_sin_relacion_user_lnk
2596,,52.60,2026-06-24,cashback_sin_relacion_user_lnk
2597,,8.63,2026-06-24,cashback_sin_relacion_user_lnk
2598,,-8.75,2026-06-24,cashback_sin_relacion_user_lnk
2599,,10.70,2026-06-24,cashback_sin_relacion_user_lnk
2600,,9.50,2026-06-24,cashback_sin_relacion_user_lnk
2601,,8.80,2026-06-25,cashback_sin_relacion_user_lnk
2602,,21.90,2026-06-25,cashback_sin_relacion_user_lnk
2603,,6.60,2026-06-25,cashback_sin_relacion_user_lnk
2604,,7.80,2026-06-25,cashback_sin_relacion_user_lnk
2605,,7.80,2026-06-25,cashback_sin_relacion_user_lnk
2606,,7.80,2026-06-25,cashback_sin_relacion_user_lnk
2607,,9.50,2026-06-25,cashback_sin_relacion_user_lnk
2608,,9.90,2026-06-26,cashback_sin_relacion_user_lnk
2609,,7.80,2026-06-26,cashback_sin_relacion_user_lnk
2610,,13.00,2026-06-26,cashback_sin_relacion_user_lnk
2611,,7.80,2026-06-26,cashback_sin_relacion_user_lnk
2612,,7.80,2026-06-26,cashback_sin_relacion_user_lnk
